num_elements,avg_comparison,avg_time
2,0,0.0013
4,1,0.0016
8,10,0.0022
16,33,0.0050
32,98,0.0121
64,227,0.0295
128,545,0.0807
256,1144,0.2409
512,2349,0.6841
1024,4718,2.4913
2048,9603,9.0546
4096,19120,36.6641
8192,33322,89.7239
16384,56702,224.3433
32768,96882,524.7387
65536,171057,1242.6526
131072,307718,2964.7144
